Crop_Type,Temperature,Humidity,Soil_pH,Crop_Yield
Corn,23.493,76.507,6.5,54.999
Rice,24.192,75.808,8,64.974
Potato,17.949,80,5.5,45.861
Wheat,25.451,74.549,6.25,35.388
Corn,24.414,75.586,8,42.988
Rice,20.877,79.123,6.75,48.566
Potato,22.847,77.153,5.5,35.056
Wheat,30.891,69.109,6.25,0
Corn,29.543,70.457,6.5,4.772
Rice,20,80,8,29.249
Potato,28.086,71.914,6.5,14.455
Wheat,35.287,64.713,6.25,0
Corn,20.073,79.927,6.75,58.414
Rice,20.765,79.235,6.25,55.606
Potato,31.195,68.805,6.75,0
Wheat,28.424,71.576,8,8.167
Corn,26.28,73.72,8,19.131
Rice,15.203,80,6.75,1.651
Potato,21.281,78.719,6.25,64.127
Wheat,23.958,76.042,5.5,33.641
Corn,26.978,73.022,8,18.969
Rice,23.432,76.568,6.75,59.235
Potato,29.861,70.139,6.75,0.643
Wheat,24.158,75.842,6.5,56.984
Corn,27.514,72.486,8,13.837
Rice,27.997,72.003,6.75,50.245
Potato,35.062,64.938,6.25,0
Wheat,36.04,63.96,6.5,0
Corn,26.16,73.84,6.5,40.349
Rice,15.149,80,6.25,1.294
Potato,35.793,64.207,6.75,0
Wheat,17.092,80,5.5,44.098
Corn,29.229,70.771,6.75,4.685
Rice,28.333,71.667,5.5,37.552
Potato,17.928,80,8,42.718
Wheat,19.735,80,5.5,49.037
Corn,21.968,78.032,8,49.938
Rice,25.094,74.906,8,67.388
Potato,23.432,76.568,6.5,60.302
Wheat,23.477,76.523,8,32.652
Corn,35.934,64.066,6.75,0
Rice,26.08,73.92,5.5,61.116
Potato,27.231,72.769,6.25,19.08
Wheat,26.856,73.144,6.5,27.213
Corn,28.419,71.581,6.25,11.089
Rice,23.915,76.085,6.75,60.336
Potato,22.947,77.053,6.5,59.005
Wheat,25.966,74.034,5.5,16.824
Corn,29.652,70.348,6.5,3.336
Rice,31.159,68.841,6.25,30.21
Potato,21.244,78.756,6.75,45.482
Wheat,22.789,77.211,6.75,41.844
Corn,24.19,75.81,6.25,46.372
Rice,28.338,71.662,8,40.321
Potato,34.707,65.293,6.5,0
Wheat,18.918,80,6.25,60.592
Corn,24.461,75.539,6.75,32.356
Rice,25.976,74.024,6.75,60.073
Potato,24.246,75.754,6.5,57.4
Wheat,38.003,61.997,5.5,0
Corn,30.882,69.118,5.5,0
Rice,34.848,65.152,8,1.064
Potato,37.277,62.723,6.25,0
Wheat,34.089,65.911,6.75,0
Corn,34.025,65.975,6.5,0
Rice,27.59,72.41,6.5,72.479
Potato,40.122,59.878,6.75,0
Wheat,34.35,65.65,6.25,0
Corn,29.069,70.931,6.25,6.25
Rice,22.455,77.545,6.5,70.54
Potato,40.383,59.617,5.5,0
Wheat,35.953,64.047,6.5,0
Corn,43.461,56.539,5.5,0
Rice,33.303,66.697,6.5,17.713
Potato,36.021,63.979,6.5,0
Wheat,32.195,67.805,6.5,0
Corn,28.306,71.694,6.25,13.042
Rice,38.919,61.081,5.5,0
Potato,36.917,63.083,8,0
Wheat,41.176,58.824,8,0
Corn,34.372,65.628,8,0
Rice,33.288,66.712,6.25,12.598
Potato,30.565,69.435,8,0
Wheat,40.192,59.808,5.5,0
Corn,31.54,68.46,6.75,0
Rice,35.557,64.443,6.5,0
Potato,35.643,64.357,8,0
Wheat,25.133,74.867,5.5,24.009
Corn,40.085,59.915,8,0
Rice,34.521,65.479,6.75,2.792
Potato,31.949,68.051,8,0
Wheat,38.248,61.752,6.75,0
Corn,25.035,74.965,8,31.063
Rice,29.819,70.181,6.25,43.524
Potato,33.498,66.502,6.75,0
Wheat,40.499,59.501,6.25,0
Corn,41.545,58.455,5.5,0
Rice,36.698,63.302,6.25,0
Potato,28.323,71.677,8,10.576
Wheat,37.587,62.413,8,0
Corn,36.798,63.202,5.5,0
Rice,41.425,58.575,8,0
Potato,38.217,61.783,6.5,0
Wheat,32.527,67.473,6.75,0
Corn,35.299,64.701,6.25,0
Rice,38.304,61.696,8,0
Potato,36.684,63.316,5.5,0
Wheat,41.476,58.524,8,0
Corn,35.861,64.139,6.5,0
Rice,33.835,66.165,6.25,9.218
Potato,35.34,64.66,8,0
Wheat,31.279,68.721,6.75,0
Corn,33.78,66.22,6.5,0
Rice,33.93,66.07,6.25,8.77
Potato,41.031,58.969,8,0
Wheat,48.789,51.211,8,0
Corn,31.514,68.486,8,0
Rice,34.56,65.44,6.75,2.47
Potato,30.942,69.058,8,0
Wheat,38.056,61.944,6.25,0
Corn,31.84,68.16,6.5,0
Rice,31.104,68.896,6.75,24.441
Potato,36.561,63.439,5.5,0
Wheat,33.452,66.548,6.75,0
Corn,36.913,63.087,6.25,0
Rice,39.935,60.065,5.5,0
Potato,32.195,67.805,8,0
Wheat,28.996,71.004,5.5,5.44
Corn,32.483,67.517,6.25,0
Rice,35.751,64.249,8,0
Potato,36.001,63.999,8,0
Wheat,34.02,65.98,5.5,0
Corn,30.573,69.427,8,0
Rice,37.763,62.237,6.75,0
Potato,28.858,71.142,6.75,5.412
Wheat,40.135,59.865,5.5,0
Corn,31.323,68.677,8,0
Rice,35.478,64.522,6.25,0
Potato,31.297,68.703,8,0
Wheat,28.687,71.313,5.5,8.556
Corn,27.141,72.859,6.5,29.334
Rice,34.929,65.071,5.5,0.415
Potato,40.366,59.634,6.75,0
Wheat,35.055,64.945,6.75,0
Corn,40.355,59.645,6.75,0
Rice,35.869,64.131,5.5,0
Potato,29.901,70.099,8,0.556
Wheat,32.169,67.831,8,0
Corn,26.603,73.397,6.5,32.247
Rice,31.055,68.945,6.25,30.943
Potato,37.924,62.076,8,0
Wheat,36.808,63.192,5.5,0
Corn,30.23,69.77,6.75,0
Rice,31.783,68.217,6.75,21.014
Potato,42.714,57.286,6.5,0
Wheat,39.143,60.857,8,0
Corn,29.046,70.954,5.5,5.906
Rice,36.987,63.013,5.5,0
Potato,27.888,72.112,8,12.682
Wheat,31.178,68.822,6.75,0
Corn,36.109,63.891,8,0
Rice,33.492,66.508,6.25,10.996
Potato,31.811,68.189,5.5,0
Wheat,34.867,65.133,6.5,0
Corn,36.52,63.48,6.5,0
Rice,34.338,65.662,5.5,4.746
Potato,31.965,68.035,6.25,0
Wheat,42.001,57.999,5.5,0
Corn,30.731,69.269,6.5,0
Rice,36.976,63.024,8,0
Potato,32.881,67.119,8,0
Wheat,34.368,65.632,8,0
Corn,44.31,55.69,6.75,0
Rice,42.49,57.51,8,0
Potato,36.437,63.563,6.25,0
Wheat,38.052,61.948,6.75,0
Corn,32.852,67.148,5.5,0
Rice,46.728,53.272,6.25,0
Potato,30.675,69.325,5.5,0
Wheat,38.455,61.545,6.5,0
Corn,43.508,56.492,5.5,0
Rice,29.846,70.154,5.5,37.184
Potato,42.562,57.438,8,0
Wheat,36.528,63.472,5.5,0
Corn,32.431,67.569,6.25,0
Rice,33.015,66.985,6.75,11.073
Potato,32.11,67.89,6.5,0
Wheat,34.031,65.969,6.5,0
Corn,32.485,67.515,8,0
Rice,27.459,72.541,6.25,52.872
Potato,33.053,66.947,5.5,0
Wheat,41.256,58.744,6.25,0
Corn,36.976,63.024,6.25,0
Rice,35.573,64.427,6.25,0
Potato,34.825,65.175,5.5,0
Wheat,28.368,71.632,6.25,10.425
Corn,33.518,66.482,6.75,0
Rice,41.804,58.196,6.75,0
Potato,32.767,67.233,6.5,0
Wheat,33.51,66.49,6.25,0
Corn,29.488,70.512,6.75,3.134
Rice,38.929,61.071,6.75,0
Potato,40.045,59.955,6.75,0
Wheat,44.246,55.754,6.5,0
Corn,38.261,61.739,8,0
Rice,41.318,58.682,5.5,0
Potato,34.493,65.507,6.25,0
Wheat,40.721,59.279,6.75,0
Corn,38.179,61.821,5.5,0
Rice,28.442,71.558,5.5,42.727
Potato,38.325,61.675,5.5,0
Wheat,40.416,59.584,5.5,0
Corn,40.011,59.989,5.5,0
Rice,42.503,57.497,5.5,0
Potato,34.225,65.775,6.5,0
Wheat,29.724,70.276,6.75,1.62
Corn,29.206,70.794,6.5,7.837
Rice,34.941,65.059,8,0.378
Potato,39.116,60.884,8,0
Wheat,34.143,65.857,5.5,0
Corn,39.773,60.227,8,0
Rice,37.903,62.097,6.5,0
Potato,35.986,64.014,6.75,0
Wheat,22.565,77.435,8,46.826
Corn,38.639,61.361,6.75,0
Rice,39.259,60.741,6.75,0
Potato,45.395,54.605,8,0
Wheat,33.022,66.978,6.25,0
Corn,31.567,68.433,6.5,0
Rice,35.123,64.877,6.25,0
Potato,35.969,64.031,6.75,0
Wheat,31.83,68.17,5.5,0
Corn,42.621,57.379,5.5,0
Rice,31.507,68.493,6.5,37.314
Potato,38.477,61.523,6.25,0
Wheat,34.088,65.912,5.5,0
Corn,40.181,59.819,6.75,0
Rice,28.491,71.509,6.75,47.453
Potato,37.644,62.356,8,0
Wheat,26.921,73.079,6.25,19.425
Corn,28.783,71.217,6.5,10.49
Rice,38.34,61.66,5.5,0
Potato,33.25,66.75,6.75,0
Wheat,31.372,68.628,6.75,0
Corn,41.425,58.575,8,0
Rice,29.267,70.733,6.25,51.085
Potato,28.692,71.308,8,7.58
Wheat,33.982,66.018,8,0
Corn,49.307,50.693,8,0
Rice,37.816,62.184,6.25,0
Potato,35.842,64.158,6.25,0
Wheat,37.515,62.485,5.5,0
Corn,37.938,62.062,6.5,0
Rice,34.51,65.49,6.75,2.965
Potato,40.63,59.37,5.5,0
Wheat,33.037,66.963,6.25,0
Corn,27.109,72.891,5.5,13.867
Rice,33.07,66.93,6.5,21.265
Potato,29.987,70.013,6.5,0.125
Wheat,40.417,59.583,6.75,0
Corn,38.764,61.236,8,0
Rice,37.167,62.833,6.75,0
Potato,31.376,68.624,6.75,0
Wheat,50.109,49.891,6.5,0
Corn,37.49,62.51,8,0
Rice,32.602,67.398,8,14.385
Potato,36.705,63.295,6.75,0
Wheat,34.136,65.864,6.25,0
Corn,29.514,70.486,6.25,3.398
Rice,42.872,57.128,6.25,0
Potato,36.29,63.71,8,0
Wheat,24.364,75.636,6.5,44.251
Corn,31.739,68.261,6.25,0
Rice,35.454,64.546,5.5,0
Potato,39.819,60.181,8,0
Wheat,35.388,64.612,6.25,0
Corn,25.278,74.722,6.5,44.155
Rice,31.512,68.488,8,25.428
Potato,29.088,70.912,6.75,5.432
Wheat,40.144,59.856,6.75,0
Corn,35.392,64.608,8,0
Rice,33.538,66.462,6.5,13.753
Potato,25.257,74.743,5.5,27.514
Wheat,29.463,70.537,5.5,3.1
Corn,46.404,53.596,5.5,0
Rice,34.654,65.346,6.25,2.733
Potato,40.297,59.703,6.5,0
Wheat,36.274,63.726,6.75,0
Corn,42.173,57.827,6.5,0
Rice,36.862,63.138,8,0
Potato,24.856,75.144,6.25,38.786
Wheat,29.897,70.103,8,0.619
Corn,31.666,68.334,6.25,0
Rice,42.342,57.658,6.75,0
Potato,41.749,58.251,6.5,0
Wheat,31.361,68.639,8,0
Corn,38.5,61.5,6.75,0
Rice,28.419,71.581,6.25,52.836
Potato,39.442,60.558,5.5,0
Wheat,37.066,62.934,6.5,0
Corn,25.718,74.282,5.5,22.987
Rice,35.278,64.722,5.5,0
Potato,34.9,65.1,6.25,0
Wheat,47.413,52.587,5.5,0
Corn,37.696,62.304,6.25,0
Rice,32.827,67.173,8,14.82
Potato,36.943,63.057,6.5,0
Wheat,34.162,65.838,6.75,0
Corn,34.34,65.66,6.75,0
Rice,36.107,63.893,6.25,0
Potato,33.128,66.872,6.25,0
Wheat,33.995,66.005,5.5,0
Corn,33.042,66.958,5.5,0
Rice,34.349,65.651,6.5,4.916
Potato,42.385,57.615,5.5,0
Wheat,23.19,76.81,6.25,55.811
Corn,39.033,60.967,6.75,0
Rice,31.072,68.928,6.25,31.717
Potato,42.827,57.173,6.75,0
Wheat,27.916,72.084,6.75,12.065
Corn,28.627,71.373,6.25,10.106
Rice,37.615,62.385,6.25,0
Potato,37.31,62.69,6.75,0
Wheat,39.899,60.101,6.75,0
Corn,35.275,64.725,5.5,0
Rice,37.054,62.946,5.5,0
Potato,26.134,73.866,6.25,31.15
Wheat,32.125,67.875,6.75,0
Corn,33.432,66.568,6.5,0
Rice,37.804,62.196,5.5,0
Potato,36.368,63.632,6.25,0
Wheat,28.448,71.552,8,8.488
Corn,42.313,57.687,5.5,0
Rice,30.4,69.6,8,28.844
Potato,28.933,71.067,6.5,9.474
Wheat,34.343,65.657,8,0
Corn,37.765,62.235,6.25,0
Rice,23.378,76.622,5.5,53.365
Potato,37.391,62.609,8,0
Wheat,40.338,59.662,6.75,0
Corn,32.87,67.13,8,0
Rice,43.002,56.998,6.25,0
Potato,33.458,66.542,5.5,0
Wheat,30.295,69.705,6.25,0
Corn,37.1,62.9,6.25,0
Rice,39.044,60.956,6.75,0
Potato,33.597,66.403,5.5,0
Wheat,32.868,67.132,6.25,0
Corn,30.747,69.253,8,0
Rice,34.376,65.624,8,3.481
Potato,32.327,67.673,5.5,0
Wheat,35.032,64.968,6.75,0
Corn,39.903,60.097,6.75,0
Rice,38.435,61.565,8,0
Potato,37.589,62.411,8,0
Wheat,37.863,62.137,6.75,0
Corn,35.639,64.361,5.5,0
Rice,33.924,66.076,8,6.915
Potato,41.023,58.977,8,0
Wheat,28.06,71.94,6.5,13.961
Corn,37.364,62.636,8,0
Rice,28.337,71.663,8,43.477
Potato,37.549,62.451,5.5,0
Wheat,27.217,72.783,6.25,18.737
Corn,30.583,69.417,6.5,0
Rice,42.58,57.42,8,0
Potato,34.281,65.719,6.5,0
Wheat,36.283,63.717,6.5,0
Corn,44.373,55.627,6.25,0
Rice,39.035,60.965,6.25,0
Potato,33.879,66.121,5.5,0
Wheat,30.611,69.389,5.5,0
Corn,23.76,76.24,6.25,49.351
Rice,30.629,69.371,8,28.557
Potato,26.169,73.831,5.5,22.293
Wheat,38.867,61.133,5.5,0
Corn,34.345,65.655,5.5,0
Rice,41.789,58.211,6.25,0
Potato,33.786,66.214,6.25,0
Wheat,39.447,60.553,8,0
Corn,35.823,64.177,6.5,0
Rice,41.338,58.662,6.25,0
Potato,36.432,63.568,6.75,0
Wheat,39.188,60.812,6.5,0
Corn,37.732,62.268,6.5,0
Rice,37.136,62.864,6.75,0
Potato,29.22,70.78,8,4.96
Wheat,38.968,61.032,6.5,0
Corn,36.495,63.505,6.75,0
Rice,25.523,74.477,5.5,65.941
Potato,31.374,68.626,6.5,0
Wheat,28.915,71.085,6.5,10.176
Corn,37.765,62.235,5.5,0
Rice,42.272,57.728,8,0
Potato,34.76,65.24,6.25,0
Wheat,42.86,57.14,6.75,0
Corn,28.198,71.802,6.25,15.414
Rice,31.504,68.496,8,23.785
Potato,28.329,71.671,8,7.927
Wheat,38.763,61.237,6.75,0
Corn,27.033,72.967,6.25,26.796
Rice,31.901,68.099,6.25,24.134
Potato,25.987,74.013,6.75,24.636
Wheat,38.634,61.366,6.25,0
Corn,32.25,67.75,6.75,0
Rice,31.346,68.654,6.25,30.51
Potato,34.724,65.276,8,0
Wheat,34.299,65.701,8,0
Corn,37.601,62.399,8,0
Rice,33.36,66.64,8,10.583
Potato,37.706,62.294,8,0
Wheat,35.994,64.006,8,0
Corn,29.546,70.454,5.5,2.395
Rice,29.113,70.887,6.75,38.449
Potato,21.926,78.074,6.5,69.125
Wheat,40.06,59.94,6.25,0
Corn,30.258,69.742,6.75,0
Rice,34.149,65.851,5.5,3.951
Potato,29.408,70.592,8,3.48
Wheat,29.951,70.049,6.5,0.381
Corn,38.458,61.542,5.5,0
Rice,35.994,64.006,6.5,0
Potato,36.781,63.219,8,0
Wheat,34.074,65.926,6.5,0
Corn,36.301,63.699,6.5,0
Rice,27.981,72.019,6.25,52.782
Potato,39.575,60.425,6.25,0
Wheat,21.401,78.599,8,54.745
Corn,17.811,80,6.5,70.591
Rice,21.89,78.11,6.75,50.207
Potato,17.86,80,5.5,41.234
Wheat,27.971,72.029,6.25,12.535
Corn,21.721,78.279,6.75,58.649
Rice,23.451,76.549,6.5,81.242
Potato,27.725,72.275,6.25,12.81
Wheat,15.087,80,6.25,33.131
Corn,18.03,80,8,47.57
Rice,14.451,80,6.75,0
Potato,20.565,79.435,6.25,66.05
Wheat,16.702,80,6.75,41.612
Corn,19.065,80,6.75,54.237
Rice,12.043,80,6.25,0
Potato,16.083,80,5.5,35.98
Wheat,8.092,80,6.75,0
Corn,21.335,78.665,6.75,66.94
Rice,16.688,80,8,10.588
Potato,18.742,80,6.75,55.263
Wheat,26.523,73.477,6.25,21.545
Corn,25.677,74.323,6.75,30.28
Rice,19.216,80,6.75,34.241
Potato,25.36,74.64,8,33.675
Wheat,10.377,80,8,2.439
Corn,30.416,69.584,6.25,0
Rice,20.516,79.484,6.5,65.582
Potato,11.823,80,8,10.652
Wheat,24.777,75.223,6.5,50.076
Corn,19.427,80,8,71.193
Rice,18.82,80,6.5,38.718
Potato,23.652,76.348,6.5,58.641
Wheat,19.539,80,6.5,81.676
Corn,20.116,79.884,5.5,57.99
Rice,24.769,75.231,6.75,65.949
Potato,22.237,77.763,6.5,69.37
Wheat,17.258,80,6.75,43.347
Corn,22.705,77.295,6.75,44.16
Rice,20.381,79.619,6.25,46.428
Potato,17.536,80,5.5,39.959
Wheat,11.364,80,5.5,6.915
Corn,16.961,80,8,45.89
Rice,25.859,74.141,6.5,111.194
Potato,28.24,71.76,8,10.101
Wheat,11.829,80,8,11.206
Corn,26.115,73.885,6.5,44.054
Rice,10.301,80,6.25,0
Potato,17.673,80,6.25,51.99
Wheat,22.567,77.433,8,46.982
Corn,13.217,80,6.25,28.293
Rice,20.845,79.155,6.25,45.364
Potato,24.411,75.589,6.5,46.671
Wheat,15.724,80,8,29.719
Corn,10.516,80,6.75,4.021
Rice,21.734,78.266,6.5,62.753
Potato,18.831,80,6.75,58.964
Wheat,18.309,80,8,44.722
Corn,21.354,78.646,5.5,61.699
Rice,26.666,73.334,8,56.105
Potato,18.522,80,8,48.103
Wheat,15.877,80,8,32.753
Corn,22.741,77.259,8,42.761
Rice,20.045,79.955,6.5,62.282
Potato,21.468,78.532,6.5,70.732
Wheat,23.954,76.046,8,28.473
Corn,17.357,80,6.75,49.88
Rice,24.421,75.579,6.25,73.943
Potato,20.078,79.922,6.5,92.898
Wheat,13.625,80,6.75,21.462
Corn,18.407,80,8,50.642
Rice,21.322,78.678,6.75,39.452
Potato,13.942,80,6.5,41.458
Wheat,23.44,76.56,5.5,36.499
Corn,22.891,77.109,6.5,69.322
Rice,17.254,80,6.25,20.374
Potato,19.162,80,6.5,90.897
Wheat,21.7,78.3,5.5,42.889
Corn,19.143,80,6.75,54.379
Rice,21.712,78.288,5.5,38.903
Potato,18.546,80,6.25,75.049
Wheat,25.202,74.798,6.5,41.054
Corn,12.983,80,6.75,22.785
Rice,24.505,75.495,5.5,61.378
Potato,19.885,80,6.25,78.142
Wheat,11.286,80,5.5,6.534
Corn,25.933,74.067,6.25,32.622
Rice,25.999,74.001,6.25,83.643
Potato,17.477,80,6.75,41.459
Wheat,12.332,80,5.5,12.078
Corn,7.829,80,6.75,0
Rice,19.209,80,6.5,46.216
Potato,19.601,80,6.25,62.458
Wheat,17.003,80,8,45.939
Corn,19.567,80,6.5,92.292
Rice,17.435,80,6.25,20.835
Potato,26.652,73.348,6.5,30.449
Wheat,21.03,78.97,5.5,50.591
Corn,17.639,80,6.25,69.06
Rice,22.656,77.344,6.5,72.908
Potato,29.531,70.469,6.25,3.207
Wheat,17.754,80,5.5,48.377
Corn,26.67,73.33,6.25,25.985
Rice,18.184,80,6.25,24.254
Potato,22.329,77.671,8,45.218
Wheat,16.99,80,5.5,31.856
Corn,14.399,80,6.5,49.651
Rice,18.46,80,6.25,31.986
Potato,20.4,79.6,6.25,65.072
Wheat,14.987,80,5.5,21.733
Corn,25.449,74.551,6.75,25.04
Rice,20.58,79.42,5.5,35.953
Potato,11.071,80,6.25,7.629
Wheat,19.634,80,6.25,74.344
Corn,17.918,80,5.5,49.499
Rice,15.926,80,6.75,5.37
Potato,20.861,79.139,5.5,55.516
Wheat,20.835,79.165,6.5,81.09
Corn,13.222,80,6.25,25.973
Rice,14.846,80,6.5,0
Potato,30.762,69.238,6.5,0
Wheat,16.466,80,6.5,60.287
Corn,28.216,71.784,8,10.64
Rice,21.603,78.397,5.5,38.708
Potato,22.586,77.414,8,42.607
Wheat,21.208,78.792,5.5,45.523
Corn,16.768,80,6.25,57.227
Rice,18.16,80,6.25,30.992
Potato,18.627,80,6.5,92.397
Wheat,21.682,78.318,6.75,47.987
Corn,12.36,80,5.5,13.947
Rice,18.658,80,5.5,22.8
Potato,27.635,72.365,5.5,10.516
Wheat,18.948,80,6.5,83.049
Corn,9.41,80,6.25,0
Rice,22.238,77.762,8,53.301
Potato,16.897,80,6.5,61.761
Wheat,21.807,78.193,6.75,47.137
Corn,14.583,80,6.25,36.512
Rice,14.444,80,6.5,0
Potato,21.331,78.669,6.75,53.709
Wheat,25.744,74.256,5.5,22.175
Corn,18.124,80,8,59.38
Rice,21.875,78.125,8,50.369
Potato,21.463,78.537,6.25,72.095
Wheat,20.211,79.789,5.5,50.029
Corn,8.996,80,5.5,0
Rice,17.962,80,6.25,28.528
Potato,15.412,80,8,23.317
Wheat,23.358,76.642,6.75,43.406
Corn,27.429,72.571,6.5,21.057
Rice,16.011,80,5.5,5.947
Potato,19.903,80,5.5,55.412
Wheat,10.121,80,6.75,0.692
Corn,17.04,80,6.5,60.277
Rice,18.578,80,6.5,33.133
Potato,19.802,80,5.5,52.668
Wheat,16.446,80,8,40.937
Corn,25.692,74.308,6.5,38.541
Rice,15.803,80,6.75,5.427
Potato,19.866,80,6.25,71.62
Wheat,16.937,80,8,42.216
Corn,20.421,79.579,5.5,56.408
Rice,13.283,80,6.5,0
Potato,19.156,80,6.5,69.456
Wheat,15.544,80,6.75,32.46
Corn,13.693,80,8,25.523
Rice,23.555,76.445,5.5,60.063
Potato,18.284,80,5.5,38.128
Wheat,24.248,75.752,5.5,32.757
Corn,25.867,74.133,6.25,28.926
Rice,15.432,80,6.25,4.041
Potato,18.57,80,5.5,51.851
Wheat,19.542,80,6.75,59.936
Corn,25.514,74.486,6.25,29.899
Rice,20.959,79.041,8,48.906
Potato,27.208,72.792,6.5,28.235
Wheat,9.404,80,8,0
Corn,17.058,80,8,46.223
Rice,20.857,79.143,5.5,43.01
Potato,17.152,80,6.75,44.44
Wheat,27.955,72.045,8,10.559
Corn,18.573,80,8,47.227
Rice,11.119,80,6.75,0
Potato,19.186,80,6.75,57.081
Wheat,18.633,80,8,49.953
Corn,12.906,80,5.5,18.014
Rice,15.55,80,6.75,3.667
Potato,22.857,77.143,8,41.427
Wheat,28.727,71.273,6.25,10.104
Corn,20.385,79.615,6.75,60.933
Rice,16.444,80,6.5,15.932
Potato,17.402,80,6.25,56.488
Wheat,19.348,80,6.5,91.001
Corn,17.09,80,6.5,68.779
Rice,23.351,76.649,8,57.852
Potato,13.04,80,6.75,18.418
Wheat,20.845,79.155,8,55.036
Corn,20.104,79.896,6.5,73.938
Rice,13.394,80,6.75,0
Potato,19.866,80,8,48.99
Wheat,24.399,75.601,6.5,46.477
Corn,18.824,80,6.5,82.146
Rice,21.222,78.778,8,42.772
Potato,16.731,80,6.25,41.113
Wheat,22.381,77.619,8,44.443
Corn,26.606,73.394,8,21.163
Rice,15.388,80,6.75,2.852
Potato,16.816,80,5.5,36.052
Wheat,16.551,80,6.5,64.934
Corn,15.947,80,8,35.804
Rice,28.64,71.36,6.75,46.678
Potato,16.219,80,6.5,54.874
Wheat,25.044,74.956,6.25,39.026
Corn,22.33,77.67,6.25,61.25
Rice,11.239,80,8,0
Potato,22.867,77.133,6.75,34.547
Wheat,18.813,80,6.5,85.957
Corn,19.85,80,8,59.306
Rice,25.263,74.737,6.25,80.639
Potato,14.479,80,6.75,22.124
Wheat,14.17,80,6.75,24.281
Corn,22.351,77.649,8,48.334
Rice,18.302,80,6.5,31.541
Potato,21.059,78.941,6.5,66.799
Wheat,23.613,76.387,8,41.09
Corn,20.234,79.766,5.5,48.926
Rice,27.582,72.418,6.75,39.671
Potato,25.792,74.208,6.5,36.098
Wheat,13.838,80,5.5,18.772
Corn,17.474,80,5.5,47.149
Rice,21.981,78.019,6.75,44.287
Potato,21.907,78.093,6.75,44.25
Wheat,24.959,75.041,5.5,30.04
Corn,26.282,73.718,6.25,33.061
Rice,28.584,71.416,5.5,33.969
Potato,13.557,80,6.75,23.385
Wheat,18.888,80,6.25,66.434
Corn,16.356,80,5.5,41.019
Rice,21.569,78.431,6.75,42.895
Potato,16.961,80,6.25,48.681
Wheat,13.843,80,5.5,19.897
Corn,19.923,80,6.5,84.714
Rice,17.08,80,8,15.36
Potato,13.241,80,8,17.77
Wheat,23.932,76.068,6.5,59.111
Corn,11.956,80,6.75,12.24
Rice,16.942,80,6.25,16.617
Potato,22.834,77.166,6.25,52.234
Wheat,17.596,80,6.5,74.666
Corn,19.919,80,8,57.548
Rice,20.626,79.374,6.25,52.702
Potato,13.857,80,6.25,27.974
Wheat,17.777,80,6.5,58.089
Corn,4.141,80,8,0
Rice,23.884,76.116,5.5,54.713
Potato,24.272,75.728,6.25,41.964
Wheat,20.289,79.711,6.75,55.063
Corn,19.654,80,6.75,61.6
Rice,17.322,80,5.5,14.452
Potato,21.836,78.164,6.5,71.588
Wheat,19.062,80,5.5,46.231
Corn,22.942,77.058,8,46.852
Rice,20.541,79.459,5.5,34.078
Potato,19.521,80,8,54.836
Wheat,16.214,80,8,41.124
Corn,10.465,80,8,3.056
Rice,26.693,73.307,6.75,60.513
Potato,27.424,72.576,6.5,21.709
Wheat,16.154,80,6.75,31.625
Corn,15.133,80,5.5,29.883
Rice,15.887,80,8,6.658
Potato,20.085,79.915,8,61.828
Wheat,13.33,80,6.25,19.124
Corn,13.769,80,6.25,25.145
Rice,17.12,80,5.5,15.13
Potato,24.425,75.575,5.5,27.927
Wheat,18.028,80,6.25,42.785
Corn,16.668,80,6.75,39.661
Rice,13.385,80,6.25,0
Potato,28.43,71.57,6.25,11.357
Wheat,15.239,80,8,28.091
Corn,25.507,74.493,8,28.107
Rice,17.23,80,6.25,15.689
Potato,14.828,80,5.5,26.312
Wheat,17.741,80,6.25,61.176
Corn,21.593,78.407,6.25,65.526
Rice,16.152,80,6.5,11.08
Potato,16.256,80,6.75,35.169
Wheat,21.886,78.114,5.5,33.614
Corn,12.504,80,6.5,24.814
Rice,28.327,71.673,6.75,41.436
Potato,16.791,80,6.75,42.141
Wheat,10.744,80,6.75,3.902
Corn,13.484,80,6.75,24.696
Rice,15.14,80,6.75,0.936
Potato,19.375,80,6.75,48.737
Wheat,12.082,80,6.5,18.127
Corn,14.64,80,6.5,51.293
Rice,22.3,77.7,6.75,49.322
Potato,13.252,80,8,20.252
Wheat,20.102,79.898,6.75,49.441
Corn,8.794,80,8,0
Rice,11.173,80,6.25,0
Potato,14.901,80,5.5,23.655
Wheat,9.995,80,6.5,0
Corn,21.635,78.365,6.75,52.958
Rice,13.011,80,5.5,0
Potato,12.017,80,5.5,10.474
Wheat,27.065,72.935,8,17.069
Corn,27.789,72.211,6.25,16.841
Rice,27.481,72.519,6.75,52.624
Potato,19.439,80,5.5,53.83
Wheat,22.55,77.45,6.75,47.849
Corn,24.585,75.415,6.5,58.517
Rice,20.162,79.838,6.75,34.682
Potato,24.607,75.393,6.25,37.366
Wheat,19.086,80,5.5,45.313
Corn,20.613,79.387,5.5,53.112
Rice,15.883,80,6.5,9.468
Potato,32.052,67.948,6.25,0
Wheat,21.617,78.383,8,54.372
Corn,16.349,80,6.25,42.853
Rice,21.739,78.261,6.75,42.464
Potato,20.403,79.597,6.5,96.729
Wheat,18.731,80,6.5,60.606
Corn,21.49,78.51,5.5,48.76
Rice,15.396,80,6.75,2.276
